Name	BIBCode	Title	PubInfo	Citations	date
Jee, Myungkook James	2006PhDT.........1J	Probing high-redshift clusters with HST/ACS gravitational weak-lensing and Chandra x-ray observations	PhD dissertation.  Proquest Dissertations And Theses 2006.  Section 0098, Part 0606 238 pages; [Ph.D. dissertation]. United States - Maryland; The Johns Hopkins University.  2006. Publication Number: AAT 3197172.	1	2006
Rigby, Jane Rebecca	2006PhDT.........2R	X-ray and infrared diagnostics of star formation and black hole accretion in galaxies	PhD dissertation, Proquest Dissertations And Theses 2006.  Section 0009, Part 0606 207 pages; [Ph.D. dissertation].United States -- Arizona: The University of Arizona; 2006. Publication Number: AAT 3205368. DAI-B 67/01, Jul 2006	1	2006
Diehl, Steven	2006PhDT.........5D	The hot interstellar medium in normal elliptical galaxies	Proquest Dissertations And Theses 2006.  Section 0167, Part 0606 250 pages; [Ph.D. dissertation].United States -- Ohio: Ohio University ; 2006. Publication Number: AAT 3230509. Source: DAI-B 67/08, Feb 2007	1	2006
Ramirez, Jose M.	2006PhDT........23R	Spectroscopic Survey on the Physical and Kinematical Structure of Active Galactic Nuclei	PhD, Venezuelan Institute for Scientific Research, 2006	0	2006
Rea, N.	2006PhDT.........5R	Magnetars&#39;&#39; Multiwavelength Study	&#39;&#39;PhD Dissertation: University of Rome &#39;&#39;Tor Vergata&#39;&#39;, INAF Astronomical Observatory of Rome, SRON Netherlands Institute for Space Research, Marie Curie Training Fellow&#39;&#39;, 2006	0	2006
Rau, Arne	2005PhDT.......201R	Gamma-ray bursts	PhD Thesis, Technical University of Munich, 2005, 2006	0	2005
Moldowan, Alyssa M.	2005MsT..........3M	The Chandra and RXTE study of the galactic microquasar SS 433 and the surrounding nebula W50	Proquest Dissertations And Theses 2005.  Section 0303, Part 0606 144 pages; [M.Sc. dissertation].Canada: University of Manitoba (Canada); 2005. Publication Number: AAT MR08919. Source:           MAI 44/03, Jun 2006	0	2005
Nelan, Jenica E.	2005PhDT.........3N	Early-type galaxies in a cluster environment: Characteristics of the stellar populations and sources of X-ray emission	Ph.D dissertation, 2005.  187 pages; [Ph. D. United States -- New Hampshire: Dartmouth College; 2005. Publication Number: AAT 3179282. DAI-B 66/06, p. 3179, Dec 2005	0	2005
Onken, Christopher A.	2005PhDT.........3O	Measurement of black hole masses in active galactic nuclei	Ph.D dissertation, 2005.  227 pages; United States -- Ohio: The Ohio State University; 2005. Publication Number: AAT 3180885. DAI-B 66/06, p. 3180, Dec 2005	0	2005
Xiang, Jingen	2005PhDT.........3X	Probing the Spatial Distribution of the Interstellar Dust Medium by High Angular Resolution X-ray Halos of Point Sources	PhD, Tsinghua University, 2005	0	2005
